iter	Passed	Remaining
0	2	248
1	4	229
2	9	318
3	12	304
4	14	280
5	16	264
6	18	250
7	21	241
8	23	234
9	25	227
10	27	220
11	29	217
12	33	220
13	35	215
14	37	213
15	47	250
16	50	244
17	52	237
18	54	232
19	56	226
20	58	220
21	60	214
22	62	209
23	64	204
24	69	208
25	72	207
26	76	208
27	79	205
28	82	201
29	84	196
30	86	193
31	88	188
32	90	184
33	92	180
34	94	175
35	97	172
36	99	169
37	102	166
38	104	162
39	106	159
40	109	157
41	111	153
42	113	150
43	115	147
44	118	144
45	120	141
46	122	138
47	124	134
48	126	131
49	128	128
50	130	125
51	133	122
52	135	119
53	137	116
54	139	114
55	141	111
56	143	108
57	145	105
58	147	102
59	149	99
60	152	97
61	154	94
62	157	92
63	159	89
64	162	87
65	164	84
66	166	81
67	168	79
68	170	76
69	172	74
70	174	71
71	176	68
72	179	66
73	181	63
74	183	61
75	185	58
76	187	56
77	189	53
78	191	51
79	193	48
80	196	46
81	198	43
82	200	41
83	202	38
84	204	36
85	206	33
86	208	31
87	210	28
88	213	26
89	215	23
90	217	21
91	219	19
92	221	16
93	223	14
94	225	11
95	227	9
96	229	7
97	231	4
98	234	2
99	236	0
